Time,rnti,SFN,format,preamble,ta,nb_TB,MCSi_1,MCSi_2,TBS_1,TBS_2,nb_PRB,connection_id
1665756119278,65535,1325,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119298,65535,1345,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119318,65535,1365,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119338,65535,1385,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119358,65535,1405,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119378,65535,1425,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119393,65535,1440,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756119398,65535,1445,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119403,65535,1450,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756119413,65535,1460,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756119418,65535,1465,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119423,65535,1470,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756119438,65535,1485,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119458,65535,1505,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119478,65535,1525,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119498,65535,1545,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119518,65535,1565,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119538,65535,1585,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119553,65535,1600,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756119558,65535,1605,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119563,65535,1610,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756119573,65535,1620,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756119578,65535,1625,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119583,65535,1630,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756119598,65535,1645,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119618,65535,1665,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119638,65535,1685,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119658,65535,1705,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119678,65535,1725,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119698,65535,1745,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119713,65535,1760,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756119718,65535,1765,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119723,65535,1770,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756119733,65535,1780,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756119738,65535,1785,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119743,65535,1790,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756119758,65535,1805,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119778,65535,1825,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119798,65535,1845,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119818,65535,1865,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119838,65535,1885,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119858,65535,1905,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119873,65535,1920,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756119878,65535,1925,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119883,65535,1930,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756119893,65535,1940,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756119898,65535,1945,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119903,65535,1950,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756119918,65535,1965,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119938,65535,1985,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119958,65535,2005,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119978,65535,2025,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756119998,65535,2045,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120018,65535,2065,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120033,65535,2080,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756120038,65535,2085,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120043,65535,2090,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756120053,65535,2100,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756120058,65535,2105,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120063,65535,2110,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756120078,65535,2125,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120098,65535,2145,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120118,65535,2165,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120138,65535,2185,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120158,65535,2205,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120178,65535,2225,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120193,65535,2240,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756120198,65535,2245,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120203,65535,2250,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756120213,65535,2260,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756120218,65535,2265,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120223,65535,2270,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756120238,65535,2285,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120258,65535,2305,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120278,65535,2325,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120298,65535,2345,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120318,65535,2365,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120338,65535,2385,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120353,65535,2400,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756120358,65535,2405,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120363,65535,2410,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756120373,65535,2420,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756120378,65535,2425,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120383,65535,2430,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756120398,65535,2445,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120418,65535,2465,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120438,65535,2485,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120458,65535,2505,2.0,0.0,0.0,1,2,-2,144,-2,4,3
