Time,rnti,SFN,format,preamble,ta,nb_TB,MCSi_1,MCSi_2,TBS_1,TBS_2,nb_PRB,connection_id
1665756441993,65535,6590,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756442008,65535,6605,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442028,65535,6625,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442048,65535,6645,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442068,65535,6665,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442088,65535,6685,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442108,65535,6705,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442123,65535,6720,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756442128,65535,6725,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442133,65535,6730,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756442143,65535,6740,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756442148,65535,6745,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442153,65535,6750,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756442168,65535,6765,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442188,65535,6785,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442208,65535,6805,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442228,65535,6825,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442248,65535,6845,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442268,65535,6865,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442283,65535,6880,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756442288,65535,6885,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442293,65535,6890,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756442303,65535,6900,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756442308,65535,6905,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442313,65535,6910,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756442328,65535,6925,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442348,65535,6945,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442368,65535,6965,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442388,65535,6985,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442408,65535,7005,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442428,65535,7025,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442443,65535,7040,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756442448,65535,7045,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442453,65535,7050,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756442463,65535,7060,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756442468,65535,7065,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442473,65535,7070,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756442488,65535,7085,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442508,65535,7105,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442528,65535,7125,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442548,65535,7145,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442568,65535,7165,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442588,65535,7185,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442603,65535,7200,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756442608,65535,7205,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442613,65535,7210,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756442623,65535,7220,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756442628,65535,7225,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442633,65535,7230,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756442648,65535,7245,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442668,65535,7265,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442688,65535,7285,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442708,65535,7305,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442728,65535,7325,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442748,65535,7345,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442763,65535,7360,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756442768,65535,7365,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442773,65535,7370,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756442783,65535,7380,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756442788,65535,7385,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442793,65535,7390,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756442808,65535,7405,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442828,65535,7425,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442848,65535,7445,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442868,65535,7465,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442888,65535,7485,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442908,65535,7505,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442923,65535,7520,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756442928,65535,7525,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442933,65535,7530,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756442943,65535,7540,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756442948,65535,7545,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442953,65535,7550,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756442968,65535,7565,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756442988,65535,7585,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443008,65535,7605,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443028,65535,7625,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443048,65535,7645,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443068,65535,7665,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443083,65535,7680,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756443088,65535,7685,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443093,65535,7690,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756443103,65535,7700,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756443108,65535,7705,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443113,65535,7710,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756443128,65535,7725,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443148,65535,7745,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443168,65535,7765,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443188,65535,7785,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443208,65535,7805,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443228,65535,7825,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443243,65535,7840,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756443248,65535,7845,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443253,65535,7850,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756443263,65535,7860,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756443268,65535,7865,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443273,65535,7870,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756443288,65535,7885,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443308,65535,7905,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443328,65535,7925,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443348,65535,7945,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443368,65535,7965,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443388,65535,7985,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443403,65535,8000,2.0,0.0,0.0,1,6,-2,256,-2,6,3
